Roll Number,3rd August,4th August,5th August,6th August,7th August,8th August,9th August
B26237,1,1,0,0,0,0,0
B26238,1,1,0,0,0,0,0
B26239,0,0,0,0,0,0,0
B26240,1,1,0,0,0,0,0
B26241,1,1,0,0,0,0,0
B26242,1,1,0,0,0,0,0
B26243,1,1,0,0,0,0,0
B26244,1,1,0,0,0,0,0
B26245,0,1,0,0,0,0,0
B26246,1,1,0,0,0,0,0
B26247,1,1,0,0,0,0,0
B26248,1,1,0,0,0,0,0
B26249,1,1,0,0,0,0,0
B26250,1,1,0,0,0,0,0
B26251,1,1,0,0,0,0,0
B26252,1,1,0,0,0,0,0
B26253,1,1,0,0,0,0,0
B26254,1,1,0,0,0,0,0
B26255,1,1,0,0,0,0,0
B26256,1,1,0,0,0,0,0
B26257,1,1,0,0,0,0,0
B26258,1,1,0,0,0,0,0
B26259,1,1,0,0,0,0,0
B26260,1,1,0,0,0,0,0
B26261,1,1,0,0,0,0,0
B26262,1,1,0,0,0,0,0
B26263,1,1,0,0,0,0,0
B26264,1,1,0,0,0,0,0
B26265,1,1,0,0,0,0,0
B26266,1,1,0,0,0,0,0
B26267,1,1,0,0,0,0,0
B26268,1,1,0,0,0,0,0
B26269,1,1,0,0,0,0,0
B26270,1,1,0,0,0,0,0
B26271,1,1,0,0,0,0,0
B26272,1,1,0,0,0,0,0
B26273,1,1,0,0,0,0,0
B26274,1,1,0,0,0,0,0
B26275,1,1,0,0,0,0,0
B26276,1,1,0,0,0,0,0
B26277,1,1,0,0,0,0,0
B26278,1,1,0,0,0,0,0
B26279,1,1,0,0,0,0,0
B26280,1,1,0,0,0,0,0
B26281,0,1,0,0,0,0,0
B26282,1,1,0,0,0,0,0
B26283,1,1,0,0,0,0,0
B26284,1,1,0,0,0,0,0
B26285,1,1,0,0,0,0,0
B26286,1,1,0,0,0,0,0
B26287,1,1,0,0,0,0,0
B26288,1,1,0,0,0,0,0
B26289,1,1,0,0,0,0,0
B26290,1,1,0,0,0,0,0
B26291,1,1,0,0,0,0,0
B26292,1,1,0,0,0,0,0
B26293,1,1,0,0,0,0,0
B26294,1,1,0,0,0,0,0
B26295,1,1,0,0,0,0,0
B26296,1,1,0,0,0,0,0
B26297,1,1,0,0,0,0,0
B26298,1,1,0,0,0,0,0
B26299,1,1,0,0,0,0,0
B26300,1,1,0,0,0,0,0
B26301,1,1,0,0,0,0,0
B26302,1,1,0,0,0,0,0
B26303,1,1,0,0,0,0,0
B26304,1,1,0,0,0,0,0
B26305,1,1,0,0,0,0,0
B26306,1,1,0,0,0,0,0
B26307,1,1,0,0,0,0,0
B26308,1,1,0,0,0,0,0
B26309,1,1,0,0,0,0,0
B26310,1,1,0,0,0,0,0
B26311,1,1,0,0,0,0,0
B26312,1,1,0,0,0,0,0
B26313,1,1,0,0,0,0,0
B26314,0,0,0,0,0,0,0
B26315,1,1,0,0,0,0,0
B26316,1,1,0,0,0,0,0
B26317,1,1,0,0,0,0,0
B26318,1,1,0,0,0,0,0
B26319,1,1,0,0,0,0,0
B26320,1,1,0,0,0,0,0
B26321,1,1,0,0,0,0,0
B26322,1,1,0,0,0,0,0
B26323,1,1,0,0,0,0,0
B26324,1,1,0,0,0,0,0
B26325,0,1,0,0,0,0,0
B26326,1,1,0,0,0,0,0
B26327,0,0,0,0,0,0,0
