Roll Number,3rd August,4th August,5th August,6th August,7th August,8th August,9th August
B26306,0,0,0,0,0,0,0
B26307,0,0,0,0,0,0,0
B26308,0,0,0,0,0,0,0
B26309,0,0,0,0,0,0,0
B26310,0,0,0,0,0,0,0
B26311,0,0,0,0,0,0,0
B26312,0,0,0,0,0,0,0
B26313,0,0,0,0,0,0,0
B26314,0,0,0,0,0,0,0
B26315,0,0,0,0,0,0,0
B26316,0,0,0,0,0,0,0
B26317,0,0,0,0,0,0,0
B26318,0,0,0,0,0,0,0
B26319,0,0,0,0,0,0,0
B26320,0,0,0,0,0,0,0
B26321,0,0,0,0,0,0,0
B26322,0,0,0,0,0,0,0
B26323,0,0,0,0,0,0,0
B26324,0,0,0,0,0,0,0
B26325,0,0,0,0,0,0,0
B26326,0,0,0,0,0,0,0
B26327,0,0,0,0,0,0,0
B26328,0,0,0,0,0,0,0
B26329,0,0,0,0,0,0,0
B26330,0,0,0,0,0,0,0
B26331,0,0,0,0,0,0,0
B26332,0,0,0,0,0,0,0
B26333,0,0,0,0,0,0,0
B26334,0,0,0,0,0,0,0
B26335,0,0,0,0,0,0,0
B26336,0,0,0,0,0,0,0
B26337,0,0,0,0,0,0,0
B26338,0,0,0,0,0,0,0
B26339,0,0,0,0,0,0,0
B26340,0,0,0,0,0,0,0
B26341,0,0,0,0,0,0,0
B26342,0,0,0,0,0,0,0
B26343,0,0,0,0,0,0,0
B26344,0,0,0,0,0,0,0
B26345,0,0,0,0,0,0,0
B26346,0,0,0,0,0,0,0
B26347,0,0,0,0,0,0,0
B26348,0,0,0,0,0,0,0
B26349,0,0,0,0,0,0,0
B26350,0,0,0,0,0,0,0
B26351,0,0,0,0,0,0,0
B26352,0,0,0,0,0,0,0
B26353,0,0,0,0,0,0,0
B26354,0,0,0,0,0,0,0
B26355,0,0,0,0,0,0,0
B26356,0,0,0,0,0,0,0
B26357,0,0,0,0,0,0,0
B26358,0,0,0,0,0,0,0
B26359,0,0,0,0,0,0,0
B26360,0,0,0,0,0,0,0
B26361,0,0,0,0,0,0,0
B26362,0,0,0,0,0,0,0
B26363,0,0,0,0,0,0,0
B26364,0,0,0,0,0,0,0
B26365,0,0,0,0,0,0,0
B26366,0,0,0,0,0,0,0
B26367,0,0,0,0,0,0,0
B26368,0,0,0,0,0,0,0
B26369,0,0,0,0,0,0,0
B26370,0,0,0,0,0,0,0
B26371,0,0,0,0,0,0,0
B26372,0,0,0,0,0,0,0
B26373,0,0,0,0,0,0,0
B26374,0,0,0,0,0,0,0
B26375,0,0,0,0,0,0,0
B26376,0,0,0,0,0,0,0
B26377,0,0,0,0,0,0,0
B26378,0,0,0,0,0,0,0
B26379,0,0,0,0,0,0,0
B26380,0,0,0,0,0,0,0
B26381,0,0,0,0,0,0,0
B26382,0,0,0,0,0,0,0
B26383,0,0,0,0,0,0,0
B26384,0,0,0,0,0,0,0
B26385,0,0,0,0,0,0,0
B26386,0,0,0,0,0,0,0
B26387,0,0,0,0,0,0,0
B26388,0,0,0,0,0,0,0
B26389,0,0,0,0,0,0,0
B26390,0,0,0,0,0,0,0
B26391,0,0,0,0,0,0,0
B26392,0,0,0,0,0,0,0
B26393,0,0,0,0,0,0,0
B26394,0,0,0,0,0,0,0
B26395,0,0,0,0,0,0,0
B26396,0,0,0,0,0,0,0
B26397,0,0,0,0,0,0,0
B26398,0,0,0,0,0,0,0
B26399,0,0,0,0,0,0,0
B26400,0,0,0,0,0,0,0
B26401,0,0,0,0,0,0,0
B26402,0,0,0,0,0,0,0
B26403,0,0,0,0,0,0,0
B26404,0,0,0,0,0,0,0
B26405,0,0,0,0,0,0,0
B26406,0,0,0,0,0,0,0
B26407,0,0,0,0,0,0,0
